"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          47,      -3.790768549,      -1.095098076,      -1.055714393,      -1.050392295,       1.673153437
          0,           0,          48,      -3.764303772,      -1.090608955,      -1.052587722,      -1.048323703,       1.702928451
          0,           0,          49,      -3.748920385,      -1.085769952,      -1.050574333,      -1.047418903,        1.72217323
          0,           0,          50,      -3.745458603,      -1.080971108,      -1.050302117,      -1.048220947,       1.729555557
          0,           0,          51,      -3.752912508,      -1.076429739,      -1.051758434,      -1.050666124,       1.725799554
          0,           0,          52,       -3.76918701,      -1.072176965,      -1.054450989,      -1.054233491,       1.712772786
          0,           0,          53,      -3.791439866,      -1.068134612,          -1.05765,      -1.058189749,       1.693073331
          0,           0,          54,      -3.816357686,       -1.06417877,      -1.060630182,       -1.06182156,       1.669767612
          0,           0,          55,      -3.840657925,      -1.060191937,      -1.062856951,      -1.064618023,       1.645978101
          0,           0,          56,      -3.861845495,      -1.056110915,      -1.064078818,      -1.066362174,       1.624241391
          0,           0,          57,      -3.878822749,      -1.051938721,      -1.064312084,      -1.067104261,       1.605922847
          0,           0,          58,      -3.891864712,      -1.047734238,      -1.063741597,      -1.067053552,       1.591121855
          0,           0,          59,      -3.902022951,      -1.043580677,      -1.062618421,      -1.066463201,       1.579103755
          0,           0,          60,       -3.91045135,      -1.039570788,      -1.061171134,      -1.065558329,       1.568899575
          0,           0,          61,      -3.918032631,      -1.035787435,      -1.059580675,      -1.064509156,       1.559707895
          0,           0,          62,      -3.925350026,      -1.032311034,      -1.057986011,      -1.063435666,       1.550979904
          0,           0,          63,      -3.932802301,      -1.029219768,      -1.056500199,      -1.062431267,       1.542337077
          0,           0,          64,       -3.94066216,      -1.026578908,      -1.055211068,      -1.061565639,       1.533509736
          0,           0,          65,      -3.949047128,      -1.024448504,      -1.054176044,      -1.060887149,       1.524355331
          0,           0,          66,      -3.957869536,       -1.02287218,      -1.053422846,      -1.060419311,       1.514906819
          0,           0,          67,      -3.966815923,      -1.021878569,      -1.052952794,      -1.060164785,       1.505406113
          0,           0,          68,      -3.975415021,      -1.021484809,      -1.052750113,      -1.060109291,       1.496257772
          0,           0,          69,      -3.983197387,      -1.021694663,       -1.05279128,      -1.060237606,       1.487891487
          0,           0,          70,      -3.989830685,      -1.022500442,      -1.053054693,      -1.060540041,       1.480633248
          0,           0,          71,      -3.995210573,       -1.02388655,      -1.053526857,      -1.061014646,       1.474609096
          0,           0,          72,      -3.999450128,       -1.02583291,        -1.0542025,      -1.061664499,       1.469741413
          0,           0,          73,      -4.002784234,      -1.028313648,      -1.055079333,      -1.062493675,       1.465830098
          0,           0,          74,      -4.005465169,      -1.031301504,      -1.056149382,      -1.063505459,       1.462650826
          0,           0,          75,      -4.007716041,      -1.034767677,      -1.057402875,       -1.06469793,       1.460004656
          0,           0,          76,       -4.00970378,      -1.038685905,      -1.058826602,      -1.066067248,       1.457743861
          0,           0,          77,      -4.011553052,      -1.043029829,      -1.060407042,      -1.067607442,       1.455758863
          0,           0,          78,      -4.013386761,      -1.047777201,      -1.062130441,      -1.069312762,       1.453934952
          0,           0,          79,      -4.015330412,       -1.05290739,      -1.063985761,      -1.071177965,       1.452143512
          0,           0,          80,      -4.017514994,      -1.058410518,      -1.065964509,      -1.073198365,       1.450236475
          0,           0,          81,      -4.020068458,      -1.064283389,      -1.068054071,      -1.075368946,       1.448057953
          0,           0,          82,      -4.023101792,       -1.07052683,      -1.070245001,      -1.077682321,       1.445461431
          0,           0,          83,      -4.026709434,      -1.077149346,      -1.072525674,       -1.08012701,       1.442315353
          0,           0,          84,      -4.030968945,      -1.084168471,      -1.074885363,      -1.082691555,       1.438508035
          0,           0,          85,      -4.035934077,      -1.091603544,      -1.077310724,      -1.085363207,       1.433957737
          0,           0,          86,      -4.041641135,      -1.099477943,      -1.079787236,      -1.088129732,        1.42860663
          0,           0,          87,      -4.048105809,      -1.107816429,      -1.082300102,      -1.090975926,       1.422424298
          0,           0,          88,       -4.05532953,      -1.116645819,      -1.084833906,      -1.093887301,        1.41540027
          0,           0,          89,      -4.063272733,      -1.125988342,      -1.087373736,      -1.096849168,       1.407568491
          0,           0,          90,       -4.07186276,      -1.135863489,      -1.089906846,      -1.099843601,        1.39899971
          0,           0,          91,       -4.08098061,      -1.146280423,       -1.09242139,      -1.102855759,        1.38981152
          0,           0,          92,      -4.090470239,      -1.157239849,      -1.094907733,      -1.105874007,       1.380160388
          0,           0,          93,      -4.100144513,      -1.168733292,      -1.097358731,      -1.108888943,       1.370235554
          0,           0,          94,      -4.109799991,      -1.180739699,       -1.09977553,      -1.111896886,       1.360245985
          0,           0,          95,      -4.119226648,      -1.193223349,      -1.102166577,      -1.114900221,       1.350410749
          0,           0,          96,       -4.12823046,      -1.206130094,      -1.104550726,      -1.117908407,       1.340937902
          0,           0,          97,      -4.136654952,      -1.219387332,      -1.106955675,       -1.12094092,       1.332003288
          0,           0,          98,       -4.14438973,      -1.232907297,      -1.109422496,      -1.124028163,       1.323740296
          0,           0,          99,      -4.151390845,      -1.246581395,      -1.112004666,      -1.127211396,       1.316218787
          0,           0,         100,      -4.157666797,      -1.260282038,      -1.114766426,      -1.130542058,       1.309455411
          0,           0,         101,      -4.163273935,      -1.273867694,      -1.117781213,      -1.134082326,       1.303416389
          0,           0,         102,      -4.168306225,       -1.28718989,      -1.121131503,      -1.137902382,       1.298026284
          0,           0,         103,        -4.1728792,      -1.300098442,      -1.124906853,       -1.14208031,       1.293182618
          0,           0,         104,      -4.177116241,      -1.312455045,      -1.129198516,      -1.146698295,        1.28876892
          0,           0,         105,       -4.18114544,      -1.324142869,      -1.134099724,      -1.151839231,       1.284658841
          0,           0,         106,      -4.185103217,      -1.335077169,      -1.139701522,      -1.157582958,       1.280712983
          0,           0,         107,      -4.189124865,      -1.345220987,      -1.146087607,      -1.164009587,       1.276789807
          0,           0,         108,      -4.193343849,      -1.354582808,      -1.153333559,      -1.171188455,       1.272746136
          0,           0,         109,      -4.197894393,      -1.363219242,      -1.161500071,      -1.179176092,       1.268435201
          0,           0,         110,      -4.202910782,      -1.371228537,      -1.170629204,      -1.188012445,       1.263708489
          0,           0,         111,      -4.208513526,      -1.378735286,      -1.180741196,      -1.197714106,       1.258429581
          0,           0,         112,      -4.214806382,      -1.385871519,      -1.191829002,      -1.208275609,       1.252477296
          0,           0,         113,      -4.221865742,      -1.392756193,      -1.203846491,      -1.219657664,       1.245756322
          0,           0,         114,      -4.229721297,      -1.399467087,      -1.216704954,      -1.231779663,       1.238216333
          0,           0,         115,      -4.238354356,      -1.406020039,      -1.230265655,      -1.244515377,       1.229855612
          0,           0,         116,       -4.24767379,      -1.412347119,      -1.244331342,      -1.257688612,       1.220744218
          0,           0,         117,      -4.257506128,      -1.418277251,      -1.258639996,      -1.271067807,       1.211038246
          0,           0,         118,       -4.26757481,       -1.42353545,      -1.272862615,      -1.284364707,       1.201002776
          0,           0,         119,      -4.277514246,       -1.42776246,      -1.286605045,      -1.297240025,       1.191004255
          0,           0,         120,      -4.286923542,      -1.430577588,      -1.299430758,      -1.309317246,       1.181458739
          0,           0,         121,      -4.295395229,      -1.431669991,      -1.310911322,      -1.320211444,       1.172798244
          0,           0,         122,      -4.302602772,      -1.430896534,      -1.320707114,      -1.329574928,       1.165379746
          0,           0,         123,       -4.30827015,      -1.428334456,      -1.328650841,      -1.337151769,       1.159515429
          0,           0,         124,      -4.312158043,      -1.424261347,      -1.334806319,      -1.342849533,       1.155496819
          0,           0,         125,      -4.314077188,      -1.419088114,      -1.339433632,      -1.346779261,        1.15358735
          0,           0,         126,      -4.313861096,      -1.413251171,      -1.342871451,      -1.349248498,       1.154020054
          0,           0,         127,      -4.311562475,      -1.407164982,       -1.34543147,      -1.350693542,       1.156778477
          0,           0,         128,      -4.307498124,      -1.401166095,      -1.347350647,      -1.351572209,       1.161544117
          0,           0,         129,      -4.302126989,      -1.395480199,      -1.348807453,      -1.352248884,       1.167821312
          0,           0,         130,      -4.295979643,      -1.390208174,        -1.3499672,      -1.352940006,       1.175025338
          0,           0,         131,      -4.289590696,      -1.385371971,      -1.351018156,       -1.35373905,       1.182568029
          0,           0,         132,      -4.283450496,      -1.380935511,      -1.352169564,      -1.354687331,       1.189908059
          0,           0,         133,      -4.277953284,       -1.37685286,        -1.3536077,      -1.355842819,       1.196600126
          0,           0,         134,      -4.273408116,      -1.373108061,      -1.355468386,      -1.357315139,       1.202290766
          0,           0,         135,      -4.270007518,      -1.369726011,      -1.357823052,      -1.359250691,       1.206750796
          0,           0,         136,      -4.267831791,      -1.366761532,      -1.360689192,      -1.361790161,       1.209871344
          0,           0,         137,      -4.266876151,      -1.364294335,       -1.36405058,      -1.365033041,       1.211639426
          0,           0,         138,      -4.267087375,      -1.362409223,       -1.36787248,      -1.369015676,       1.212100468
          0,           0,         139,      -4.268389249,      -1.361168081,      -1.372117922,      -1.373709132,       1.211332434
          0,           0,         140,      -4.270692388,      -1.360608443,      -1.376740754,      -1.379028721,        1.20943414
          0,           0,         141,      -4.273883083,      -1.360740853,      -1.381680396,      -1.384848192,       1.206532636
          0,           0,         142,      -4.277816019,       -1.36155741,      -1.386860375,      -1.391012824,       1.202786854
          0,           0,         143,      -4.282317424,      -1.363042002,      -1.392185464,      -1.397351835,       1.198382281
          0,           0,         144,      -4.287213964,      -1.365176508,      -1.397541928,      -1.403689893,       1.193504124
          0,           0,         145,      -4.292330329,      -1.367939438,      -1.402800227,      -1.409845145,       1.188337683
          0,           0,         146,      -4.297483729,       -1.37130238,      -1.407815395,      -1.415634102,       1.183074981
          0,           0,         147,      -4.302479743,      -1.375221444,      -1.412436348,      -1.420879633,       1.177919066
          0,           0,         148,      -4.307104913,      -1.379633303,      -1.416523475,      -1.425424358,       1.173091571
          0,           0,         149,      -4.311126832,      -1.384448736,      -1.419960461,      -1.429145397,       1.168834266
          0,           0,         150,      -4.314318084,      -1.389547493,      -1.422673868,      -1.431969102,       1.165386646
          0,           0,         151,      -4.316532494,      -1.394783664,      -1.424647091,      -1.433887872,       1.162912298
          0,           0,         152,      -4.317776966,      -1.400000017,      -1.425929983,      -1.434965842,       1.161426782
          0,           0,         153,      -4.318212252,      -1.405049718,       -1.42663982,      -1.435335574,       1.160790376
          0,           0,         154,      -4.318106234,      -1.409821091,      -1.426948817,        -1.4351839,       1.160749864
          0,           0,         155,      -4.317780861,      -1.414260078,      -1.427065676,      -1.434728128,       1.160989187
          0,           0,         156,      -4.317559067,      -1.418380424,      -1.427210498,      -1.434194441,       1.161182541
          0,           0,         157,      -4.317745385,      -1.422269135,       -1.42759949,      -1.433790212,        1.16101836
          0,           0,         158,      -4.318604735,      -1.426081062,      -1.428421372,      -1.433706492,       1.160220607
          0,           0,         159,      -4.320348255,       -1.43001991,      -1.429825336,      -1.434095894,       1.158564708
          0,           0,         160,      -4.323167137,      -1.434329349,       -1.43192321,      -1.435076731,       1.155846881
          0,           0,         161,      -4.327221849,      -1.439279798,       -1.43478628,      -1.436733044,       1.151894359
          0,           0,         162,      -4.332665745,      -1.445160431,      -1.438452364,      -1.439121335,       1.146543071
          0,           0,         163,      -4.339642468,      -1.452272312,      -1.442927029,      -1.442273697,       1.139638787
          0,           0,         164,      -4.348266681,      -1.460919211,       -1.44818753,       -1.44620215,       1.131054222
          0,           0,         165,      -4.358634756,      -1.471398602,      -1.454190813,       -1.45090731,       1.120679429
          0,           0,         166,      -4.370828119,      -1.484000686,      -1.460884274,      -1.456383379,        1.10841899
          0,           0,         167,      -4.384867934,      -1.498993516,      -1.468206349,      -1.462620779,       1.094231782
          0,           0,         168,      -4.400745957,      -1.516623791,      -1.476104038,      -1.469619246,       1.078105425
          0,           0,         169,      -4.418392827,      -1.537107331,      -1.484531442,       -1.47738114,       1.060085387
          0,           0,         170,       -4.43766213,      -1.560613848,      -1.493455586,      -1.485914395,       1.040292628
          0,           0,         171,      -4.458307398,      -1.587242517,      -1.502854365,        -1.4952254,       1.018950298
          0,           0,         172,      -4.479953498,       -1.61699016,      -1.512709758,      -1.505312251,      0.9964172825
          0,           0,         173,      -4.502103244,      -1.649702838,      -1.523002461,      -1.516154278,      0.9731903179
          0,           0,         174,      -4.524101152,      -1.685001024,      -1.533706484,       -1.52770343,       0.949950796
          0,           0,         175,      -4.545179024,      -1.722181489,      -1.544781242,      -1.539881157,      0.9275296514
          0,           0,         176,      -4.564518456,      -1.760097847,      -1.556172099,      -1.552579607,      0.9068491103
          0,           0,         177,      -4.581365419,      -1.797060709,      -1.567805914,      -1.565664242,      0.8888021407
          0,           0,         178,      -4.595141321,      -1.830831467,      -1.579595014,      -1.578978943,      0.8741163032
          0,           0,         179,      -4.605541918,      -1.858856836,       -1.59143739,      -1.592351775,      0.8632186385
          0,           0,         180,      -4.612593726,      -1.878840098,      -1.603223838,      -1.605605941,      0.8561459246
          0,           0,         181,       -4.61664596,      -1.889506203,        -1.6148463,      -1.618572495,      0.8525384961
          0,           0,         182,      -4.618301675,      -1.891110339,      -1.626210137,      -1.631104645,      0.8517187059
          0,           0,         183,      -4.618302347,      -1.885312149,      -1.637246361,      -1.643090662,      0.8528349961
          0,           0,         184,      -4.617424885,      -1.874505685,      -1.647918043,      -1.654461339,      0.8549929023
          0,           0,         185,      -4.616392625,      -1.861102957,      -1.658220349,      -1.665188542,      0.8573645769
          0,           0,         186,       -4.61583411,      -1.847100986,      -1.668180453,      -1.675284459,      0.8592407862
          0,           0,         187,      -4.616257543,      -1.833950157,      -1.677851413,      -1.684795881,      0.8600564589
          0,           0,         188,      -4.618036915,      -1.822591965,      -1.687300291,      -1.693793805,      0.8593996712
          0,           0,         189,      -4.621417916,      -1.813561845,      -1.696596746,      -1.702363829,      0.8570000892
          0,           0,         190,       -4.62655483,      -1.807136617,      -1.705819759,      -1.710610252,      0.8526885201
          0,           0,         191,      -4.633544636,      -1.803458121,      -1.715061216,       -1.71865461,      0.8463598255
          0,           0,         192,      -4.642422494,      -1.802581261,      -1.724412659,      -1.726622569,      0.8379737917
          0,           0,         193,      -4.653161993,      -1.804503594,       -1.73395349,      -1.734631698,      0.8275529392
          0,           0,         194,      -4.665680322,      -1.809177479,      -1.743746143,      -1.742783943,      0.8151772706
          0,           0,         195,      -4.679821585,      -1.816524185,       -1.75382829,      -1.751161304,      0.8009987994
          0,           0,         196,      -4.695373935,       -1.82643731,      -1.764211476,      -1.759824431,      0.7852277589
          0,           0,         197,      -4.712054263,      -1.838785522,      -1.774880909,      -1.768810686,      0.7681496221
          0,           0,         198,      -4.729515169,      -1.853400244,      -1.785791814,      -1.778130775,      0.7501194069
          0,           0,         199,      -4.747330449,      -1.870058931,      -1.796872108,      -1.787770419,      0.7315797629
          0,           0,         200,       -4.76501408,      -1.888463664,      -1.808024384,      -1.797692309,      0.7130461235
          0,           0,         201,      -4.782041259,       -1.90821866,      -1.819130227,      -1.807837828,      0.6950883311
          0,           0,         202,      -4.797895704,      -1.928799919,      -1.830055763,      -1.818128282,      0.6782840621
          0,           0,         203,      -4.812101816,       -1.94953639,       -1.84065494,      -1.828466382,      0.6631817474
          0,           0,         204,       -4.82428065,      -1.969602239,      -1.850773226,      -1.838734093,      0.6502364378
          0,           0,         205,      -4.834183336,      -1.988046152,        -1.8602538,      -1.848792851,      0.6397631502
          0,           0,         206,      -4.841706263,       -2.00386848,      -1.868945236,      -1.858485563,      0.6319091033
          0,           0,         207,      -4.846903515,      -2.016155247,      -1.876717762,      -1.867651762,      0.6266335198
          0,           0,         208,      -4.849988365,      -2.024238961,      -1.883488352,        -1.8761487,      0.6237059027
          0,           0,         209,      -4.851326227,      -2.027848906,      -1.889242468,      -1.883875936,      0.6227195219
          0,           0,         210,      -4.851390051,      -2.027183189,      -1.894043272,      -1.890792028,      0.6231463833
          0,           0,         211,      -4.850697146,      -2.022860563,      -1.898022685,      -1.896916349,      0.6244109827
          0,           0,         212,      -4.849744501,      -2.015775148,      -1.901360943,      -1.902321283,      0.6259627682
          0,           0,         213,      -4.848962962,      -2.006911726,      -1.904268051,      -1.907120856,      0.6273268837
          0,           0,         214,      -4.848700564,      -1.997198071,      -1.906965337,      -1.911460665,      0.6281225877
          0,           0,         215,      -4.849222945,      -1.987415639,       -1.90967305,      -1.915507382,      0.6280621611
          0,           0,         216,      -4.850723605,      -1.978176533,      -1.912599854,      -1.919437286,      0.6269392369
          0,           0,         217,      -4.853333246,        -1.9699276,        -1.9159332,      -1.923424914,      0.6246168497
          0,           0,         218,      -4.857133307,      -1.962980926,      -1.919834488,      -1.927635306,       0.621012441
          0,           0,         219,      -4.862163109,      -1.957542673,      -1.924435984,      -1.932217579,      0.6160885822
          0,           0,         220,      -4.868429816,       -1.95373943,      -1.929840583,      -1.937300761,      0.6098421768
          0,           0,         221,      -4.875906706,      -1.951638238,      -1.936120332,      -1.942990867,      0.6023045835
          0,           0,         222,      -4.884548341,      -1.951263965,      -1.943320065,      -1.949370039,      0.5935270417
          0,           0,         223,      -4.894277179,      -1.952610153,      -1.951456957,      -1.956497426,       0.583592973
          0,           0,         224,      -4.904991171,      -1.955646495,      -1.960523497,       -1.96440797,      0.5726112906
          0,           0,         225,       -4.91655732,      -1.960325409,      -1.970487498,      -1.973113159,      0.5607224695
          0,           0,         226,      -4.928809698,      -1.966583165,      -1.981294287,      -1.982601601,       0.548101627
          0,           0,         227,      -4.941548906,      -1.974341312,      -1.992865698,      -1.992838971,      0.5349599769
          0,           0,         228,      -4.954532683,      -1.983507935,      -2.005100601,      -2.003767319,      0.5215548825
          0,           0,         229,      -4.967485845,      -1.993972738,      -2.017873556,      -2.015304805,      0.5081809579
          0,           0,         230,      -4.980107191,      -2.005606591,      -2.031036953,      -2.027344083,       0.495162442
          0,           0,         231,      -4.992082404,       -2.01825822,      -2.044419007,      -2.039750964,      0.4828419764
          0,           0,         232,      -5.003103182,       -2.03175213,      -2.057825766,      -2.052364706,      0.4715572472
          0,           0,         233,       -5.01289361,      -2.045886733,      -2.071044777,      -2.064999659,      0.4616120952
          0,           0,         234,      -5.021235897,      -2.060433397,      -2.083852809,      -2.077449933,      0.4532469401
          0,           0,         235,      -5.027986118,      -2.075136762,      -2.096022008,      -2.089496935,      0.4466194046
          0,           0,         236,      -5.033076611,      -2.089719632,      -2.107336023,      -2.100920376,       0.441799194
          0,           0,         237,       -5.03651981,      -2.103886828,      -2.117604226,      -2.111511029,      0.4387647189
          0,           0,         238,       -5.03841989,      -2.117337754,      -2.126679044,       -2.12108834,      0.4373933851
          0,           0,         239,      -5.038977035,      -2.129786684,      -2.134471075,      -2.129517947,      0.4374596522
          0,           0,         240,      -5.038487272,      -2.140991126,       -2.14096345,      -2.136726803,      0.4386387742
          0,           0,         241,      -5.037326733,      -2.150783895,      -2.146215574,      -2.142713229,      0.4405256474
          0,           0,         242,      -5.035926263,      -2.159099679,      -2.150358738,      -2.147549033,      0.4426630475
          0,           0,         243,       -5.03473123,      -2.165992101,      -2.153583369,      -2.151372427,      0.4445832352
          0,           0,         244,      -5.034160582,      -2.171632787,      -2.156121509,      -2.154372504,      0.4458488215
          0,           0,         245,      -5.034573657,      -2.176290547,      -2.158226116,      -2.156771136,      0.4460852716
          0,           0,         246,      -5.036252401,      -2.180298855,      -2.160152471,      -2.158805041,      0.4449977823
          0,           0,         247,      -5.039389033,      -2.184015183,       -2.16214141,      -2.160708457,      0.4423823524
          0,           0,         248,      -5.044083228,      -2.187781378,      -2.164406202,      -2.162699732,      0.4381280675
          0,           0,         249,      -5.050353823,      -2.191897936,      -2.167126908,      -2.164974274,      0.4322056117
          0,           0,         250,      -5.058170255,      -2.196620424,      -2.170452519,      -2.167703862,      0.4246370288
          0,           0,         251,      -5.067468391,      -2.202165553,      -2.174504229,      -2.171035369,       0.415480176
          0,           0,         252,      -5.078159603,      -2.208716932,      -2.179375224,      -2.175090262,      0.4048200026
          0,           0,         253,      -5.090131009,      -2.216427127,      -2.185129856,      -2.179961042,      0.3927681279
          0,           0,         254,      -5.103241241,      -2.225416833,       -2.19180146,      -2.185711202,      0.3794666876
          0,           0,         255,      -5.117314913,      -2.235777245,      -2.199391412,      -2.192374988,      0.3650936654
          0,           0,         256,      -5.132142844,      -2.247571813,      -2.207869548,      -2.199956967,      0.3498637542
          0,           0,         257,      -5.147475752,       -2.26083557,      -2.217174291,      -2.208431935,      0.3340347744
          0,           0,         258,      -5.163032074,      -2.275573524,      -2.227211505,      -2.217745323,      0.3179018843
          0,           0,         259,      -5.178488411,      -2.291753488,      -2.237855618,      -2.227812817,      0.3018070177
          0,           0,         260,      -5.193490875,      -2.309295387,      -2.248949119,      -2.238519682,      0.2861289311
          0,           0,         261,      -5.207666502,      -2.328057215,      -2.260304013,      -2.249719315,       0.271271519
          0,           0,         262,      -5.220645604,      -2.347815528,      -2.271703614,      -2.261231692,      0.2576404371
          0,           0,         263,      -5.232092188,      -2.368247241,      -2.282907322,      -2.272843998,      0.2456099327
          0,           0,         264,       -5.24173823,      -2.388915306,      -2.293659247,      -2.284314754,      0.2354837596
          0,           0,         265,      -5.249409466,      -2.409263394,      -2.303701896,      -2.295383148,      0.2274642072
          0,           0,         266,      -5.255036478,       -2.42862819,      -2.312795281,      -2.305783369,       0.221636248
          0,           0,         267,      -5.258660273,      -2.446280076,      -2.320737786,      -2.315264397,       0.217960396
          0,           0,         268,      -5.260432382,      -2.461493273,      -2.327387705,      -2.323611675,      0.2162735108
          0,           0,         269,      -5.260607617,      -2.473640349,      -2.332679821,      -2.330671143,       0.216299197
          0,           0,         270,      -5.259525116,      -2.482299235,      -2.336636157,        -2.3363703,      0.2176706106
          0,           0,         271,      -5.257582692,      -2.487335463,      -2.339368648,      -2.340731159,      0.2199608185
          0,           0,         272,      -5.255200384,      -2.488933242,      -2.341067674,      -2.343867929,      0.2227227394
          0,           0,         273,      -5.252790511,       -2.48756126,      -2.341981279,      -2.345971054,      0.2255215246
          0,           0,         274,      -5.250727628,      -2.483890136,      -2.342390015,       -2.34728308,      0.2279650165
          0,           0,         275,      -5.249337793,      -2.478685449,      -2.342581768,      -2.348072477,      0.2297147453
          0,           0,         276,      -5.248893661,       -2.47271201,      -2.342831524,      -2.348612574,      0.2304896542
          0,           0,         277,      -5.249604812,      -2.466659091,      -2.343384298,      -2.349161805,      0.2300743107
          0,           0,         278,      -5.251616629,      -2.461093116,       -2.34444451,      -2.349949723,      0.2283181257
          0,           0,         279,      -5.255027797,      -2.456455313,      -2.346177877,      -2.351174549,      0.2251178071
          0,           0,         280,      -5.259909476,      -2.453091961,      -2.348719348,      -2.353007462,      0.2203989742
          0,           0,         281,      -5.266324871,      -2.451277853,       -2.35217604,      -2.355590942,      0.2140975819
          0,           0,         282,      -5.274314102,       -2.45122486,      -2.356625998,       -2.35903661,      0.2061730964
          0,           0,         283,      -5.283890706,      -2.453091773,      -2.362117368,      -2.363424866,      0.1966110065
