"PointID","x","y"
43, 5.902799963950000e-01, -5.999341409500483e-02
44, 5.747100114820000e-01, -6.094302068731264e-02
45, 5.590599775310000e-01, -6.180404213631988e-02
46, 5.433599948880000e-01, -6.257857474223273e-02
47, 5.276100039480000e-01, -6.327130716800575e-02
48, 5.118399858470000e-01, -6.388638082877139e-02
49, 4.960500001910000e-01, -6.442986701997427e-02
50, 4.802699983120000e-01, -6.490723219957846e-02
51, 4.645099937920000e-01, -6.532496851132702e-02
52, 4.487800002100000e-01, -6.568959146895058e-02
53, 4.331099987030000e-01, -6.600708851408391e-02
54, 4.174999892710000e-01, -6.628381416354703e-02
55, 4.019699990750000e-01, -6.652523274509504e-02
56, 3.865399956700000e-01, -6.673623712026987e-02
57, 3.712300062180000e-01, -6.692099044343107e-02
58, 3.560400009160000e-01, -6.708299704189082e-02
59, 3.409900069240000e-01, -6.722452467743009e-02
60, 3.261100053790000e-01, -6.734673398511581e-02
61, 3.113999962810000e-01, -6.744993820616856e-02
62, 2.968699932100000e-01, -6.753318575132100e-02
63, 2.825500071050000e-01, -6.759427594982467e-02
64, 2.684499919410000e-01, -6.763000881217361e-02
65, 2.545700073240000e-01, -6.763605323742850e-02
66, 2.409400045870000e-01, -6.760698985784191e-02
67, 2.275699973110000e-01, -6.753646408805271e-02
68, 2.144699990750000e-01, -6.741718594259824e-02
69, 2.016600072380000e-01, -6.724116909823374e-02
70, 1.891400069000000e-01, -6.699944206499912e-02
71, 1.769299954180000e-01, -6.668271186915514e-02
72, 1.650400012730000e-01, -6.628104398155130e-02
73, 1.534900069240000e-01, -6.578455891311960e-02
74, 1.422899961470000e-01, -6.518292499859842e-02
75, 1.314399987460000e-01, -6.446498373934369e-02
76, 1.209499984980000e-01, -6.361987704403343e-02
77, 1.108499988910000e-01, -6.263891162885257e-02
78, 1.011300012470000e-01, -6.151011814815922e-02
79, 9.181000292300000e-02, -6.022480249376695e-02
80, 8.290000259900000e-02, -5.877403015810249e-02
81, 7.440000027400000e-02, -5.714764555220512e-02
82, 6.633000075800000e-02, -5.534002769710750e-02
83, 5.869000032500000e-02, -5.334259221083480e-02
84, 5.149000138000000e-02, -5.114991435598708e-02
85, 4.473999887700000e-02, -4.875833195903236e-02
86, 3.844000026600000e-02, -4.616200232299640e-02
87, 3.260000050100000e-02, -4.336026829475827e-02
88, 2.723000012300000e-02, -4.035558549873448e-02
89, 2.232000045500000e-02, -3.714042249116184e-02
90, 1.789999939500000e-02, -3.373641548940125e-02
91, 1.394999958600000e-02, -3.013299457293038e-02
92, 1.049000024800000e-02, -2.635559405334380e-02
93, 7.519999985000000e-03, -2.241984896355317e-02
94, 5.040000193000000e-03, -1.834714888395364e-02
95, 3.049999941000000e-03, -1.416644130391037e-02
96, 1.560000004000000e-03, -9.949611958057261e-03
97, 5.600000150000000e-04, -5.743272815509104e-03
98, 5.999999800000000e-05, -1.722511441648024e-03
99, 0.000000000000000e+00, 0.000000000000000e+00
100, 5.999999800000000e-05, 1.469746441694730e-03
101, 5.600000150000000e-04, 4.513552370294503e-03
102, 1.560000004000000e-03, 7.446784763397846e-03
103, 3.049999941000000e-03, 1.023003208919075e-02
104, 5.040000193000000e-03, 1.287719631400672e-02
105, 7.519999985000000e-03, 1.537400489365283e-02
106, 1.049000024800000e-02, 1.772812471332113e-02
107, 1.394999958600000e-02, 1.994805849450483e-02
108, 1.789999939500000e-02, 2.204317311142895e-02
109, 2.232000045500000e-02, 2.401519909747412e-02
110, 2.723000012300000e-02, 2.588494832664216e-02
111, 3.260000050100000e-02, 2.765282412547821e-02
112, 3.844000026600000e-02, 2.933459119611799e-02
113, 4.473999887700000e-02, 3.093861548238125e-02
114, 5.149000138000000e-02, 3.247345731382337e-02
115, 5.869000032500000e-02, 3.394941829872385e-02
116, 6.633000075800000e-02, 3.537387532610703e-02
117, 7.440000027400000e-02, 3.675373237141105e-02
118, 8.290000259900000e-02, 3.809678219234824e-02
119, 9.181000292300000e-02, 3.940682633886879e-02
120, 1.011300012470000e-01, 4.068995986155920e-02
121, 1.108499988910000e-01, 4.194985517953237e-02
122, 1.209499984980000e-01, 4.318816499024945e-02
123, 1.314399987460000e-01, 4.440933222080077e-02
124, 1.422899961470000e-01, 4.561215343499304e-02
125, 1.534900069240000e-01, 4.679705984565148e-02
126, 1.650400012730000e-01, 4.796460417903545e-02
127, 1.769299954180000e-01, 4.911339185390808e-02
128, 1.891400069000000e-01, 5.024033307778857e-02
129, 2.016600072380000e-01, 5.134259811742480e-02
130, 2.144699990750000e-01, 5.241581401694993e-02
131, 2.275699973110000e-01, 5.345664152226949e-02
132, 2.409400045870000e-01, 5.445947022109376e-02
133, 2.545700073240000e-01, 5.541896295451236e-02
134, 2.684499919410000e-01, 5.632925121297987e-02
135, 2.825500071050000e-01, 5.718283525922221e-02
136, 2.968699932100000e-01, 5.797380009418031e-02
137, 3.113999962810000e-01, 5.869521651266167e-02
138, 3.261100053790000e-01, 5.933906199249450e-02
139, 3.409900069240000e-01, 5.989830226547990e-02
140, 3.560400009160000e-01, 6.036608350620750e-02
141, 3.712300062180000e-01, 6.073462889120408e-02
142, 3.865399956700000e-01, 6.099691700915322e-02
143, 4.019699990750000e-01, 6.114650793347006e-02
144, 4.174999892710000e-01, 6.117694861840556e-02
145, 4.331099987030000e-01, 6.108244704383308e-02
146, 4.487800002100000e-01, 6.085799055360654e-02
147, 4.645099937920000e-01, 6.049891995210890e-02
148, 4.802699983120000e-01, 6.000195962706813e-02
149, 4.960500001910000e-01, 5.936439430180876e-02
150, 5.118399858470000e-01, 5.858436108382012e-02
151, 5.276100039480000e-01, 5.766219421581405e-02
152, 5.433599948880000e-01, 5.659782352772048e-02
153, 5.590599775310000e-01, 5.539434772583904e-02
154, 5.747100114820000e-01, 5.405404131475219e-02
155, 5.902799963950000e-01, 5.258301391207544e-02
156, 6.057599782940000e-01, 5.098714983704346e-02
157, 6.211299896240000e-01, 4.927472856542788e-02
158, 6.363800168040000e-01, 4.745434514328679e-02
159, 6.514999866490000e-01, 4.553577872195146e-02
160, 6.664699912070000e-01, 4.353127619048124e-02
161, 6.812700033190000e-01, 4.145437477574135e-02
162, 6.958900094030001e-01, 3.931821870353223e-02
163, 7.103199958800001e-01, 3.713664311824054e-02
164, 7.245299816130000e-01, 3.492714493259501e-02
165, 7.385200262070000e-01, 3.270297773523237e-02
166, 7.522799968720000e-01, 3.047899525659664e-02
167, 7.657799720760000e-01, 2.827318139441672e-02
168, 7.790099978450000e-01, 2.609996635832918e-02
169, 7.919700145720000e-01, 2.397156633068822e-02
170, 8.046399950980000e-01, 2.190271831825796e-02
171, 8.170099854470000e-01, 1.990549248147673e-02
172, 8.290500044819999e-01, 1.799374309979540e-02
173, 8.407700061800000e-01, 1.617299337729485e-02
174, 8.521599769590000e-01, 1.444934717551932e-02
175, 8.631799817090000e-01, 1.282963941635272e-02
176, 8.738499879840000e-01, 1.130734688705520e-02
177, 8.841500282290000e-01, 9.877327088542047e-03
178, 8.940600156780000e-01, 8.530968688609742e-03
179, 9.035800099370001e-01, 7.256879570423809e-03
180, 9.126999974250000e-01, 6.050485465304838e-03
181, 9.214000105860000e-01, 4.920302505659534e-03
182, 9.296900033950000e-01, 3.887429869270848e-03
183, 9.375399947170000e-01, 2.993629124172255e-03
184, 9.449599981310000e-01, 2.282511913305990e-03
185, 9.519400000570000e-01, 1.790413665587397e-03
186, 9.584699869160000e-01, 1.524823952111813e-03
187, 9.645400047300000e-01, 1.452283424248729e-03
188, 9.701499938960000e-01, 1.501570962036597e-03
189, 9.752799868580000e-01, 1.582746894975368e-03
190, 9.799500107769999e-01, 1.615194182410943e-03
191, 9.841300249100000e-01, 1.549841178990700e-03
192, 9.878399968150000e-01, 1.378232586234163e-03
193, 9.910500049590000e-01, 1.127775684082727e-03
194, 9.937800168990000e-01, 8.404088463907195e-04
195, 9.960200190539999e-01, 5.603628259581265e-04
196, 9.977599978450000e-01, 3.220276815799451e-04
197, 9.990000128750000e-01, 1.449724665952486e-04
198, 9.997500181200000e-01, 3.632450906433289e-05
199, 1.000000000000000e+00, 0.000000000000000e+00
